Epochs,data__preprocessed__densenet201-imagenet__time,data__preprocessed__densenet201-imagenet__train_loss,data__preprocessed__densenet201-imagenet__train_accuracy,data__preprocessed__densenet201-imagenet__val_loss,data__preprocessed__densenet201-imagenet__val_accuracy,data__preprocessed__densenet201__time,data__preprocessed__densenet201__train_loss,data__preprocessed__densenet201__train_accuracy,data__preprocessed__densenet201__val_loss,data__preprocessed__densenet201__val_accuracy,data__preprocessed__inception-v3__time,data__preprocessed__inception-v3__train_loss,data__preprocessed__inception-v3__train_accuracy,data__preprocessed__inception-v3__val_loss,data__preprocessed__inception-v3__val_accuracy,data__preprocessed__mario__time,data__preprocessed__mario__train_loss,data__preprocessed__mario__train_accuracy,data__preprocessed__mario__val_loss,data__preprocessed__mario__val_accuracy,data__preprocessed__resnet50__time,data__preprocessed__resnet50__train_loss,data__preprocessed__resnet50__train_accuracy,data__preprocessed__resnet50__val_loss,data__preprocessed__resnet50__val_accuracy,data__preprocessed__xception__time,data__preprocessed__xception__train_loss,data__preprocessed__xception__train_accuracy,data__preprocessed__xception__val_loss,data__preprocessed__xception__val_accuracy,data__raw__densenet201-imagenet__time,data__raw__densenet201-imagenet__train_loss,data__raw__densenet201-imagenet__train_accuracy,data__raw__densenet201-imagenet__val_loss,data__raw__densenet201-imagenet__val_accuracy,,data__raw__densenet201__time,data__raw__densenet201__train_loss,data__raw__densenet201__train_accuracy,data__raw__densenet201__val_loss,data__raw__densenet201__val_accuracy,data__raw__inception-v3__time,data__raw__inception-v3__train_loss,data__raw__inception-v3__train_accuracy,data__raw__inception-v3__val_loss,data__raw__inception-v3__val_accuracy,data__raw__mario__time,data__raw__mario__train_loss,data__raw__mario__train_accuracy,data__raw__mario__val_loss,data__raw__mario__val_accuracy,data__raw__resnet50__time,data__raw__resnet50__train_loss,data__raw__resnet50__train_accuracy,data__raw__resnet50__val_loss,data__raw__resnet50__val_accuracy,data__raw__xception__time,data__raw__xception__train_loss,data__raw__xception__train_accuracy,data__raw__xception__val_loss,data__raw__xception__val_accuracy
1,211s,1.4167,0.5133,1.137,0.6009,205s,1.6296,0.3783,1.5754,0.3979,182s,1.7851,0.332,1.7612,0.2692,210s,2.3399,0.2855,1.805,0.2828,179s,1.8067,0.3447,2.1895,0.2915,191s,1.5722,0.3858,1.8832,0.2574,282s,1.6941,0.4447,1.4517,0.5019,,279s,1.7533,0.3222,9.6382,0.2754,230s,1.8519,0.3017,34.7928,0.2692,219s,3.2717,0.2979,4.3695,0.2804,250s,1.9359,0.2954,3.1136,0.2264,257s,1.677,0.3338,1.7827,0.2562
2,110s,1.0552,0.6115,1.1116,0.6058,116s,1.3049,0.5092,9.6084,0.1652,106s,1.5838,0.4111,5.6461,0.3676,107s,1.6283,0.3502,2.5433,0.2853,112s,1.4423,0.4673,2.5064,0.3243,128s,1.2253,0.5387,3.4427,0.3391,142s,1.2385,0.5433,1.2939,0.5397,,154s,1.5614,0.3812,3.3089,0.2171,139s,1.7927,0.3055,2.824,0.2754,143s,1.6248,0.3525,1.5933,0.3505,150s,1.695,0.3545,2.1735,0.1818,152s,1.3844,0.4549,1.7404,0.4417
3,110s,0.9488,0.6501,1.0079,0.6399,116s,1.0632,0.5966,3.6587,0.3094,105s,1.6123,0.4006,4.0456,0.3515,106s,1.5337,0.3821,2.2897,0.1999,111s,1.2118,0.5506,2.7545,0.3595,131s,0.9813,0.6277,1.2215,0.5755,145s,1.1307,0.5858,1.2719,0.5459,,155s,1.4534,0.4228,1.9913,0.3598,137s,1.8254,0.2938,1.8812,0.299,141s,1.5186,0.3972,1.683,0.3685,149s,1.5202,0.4141,2.417,0.3065,150s,1.2434,0.5138,1.9374,0.4423
4,111s,0.8918,0.667,0.9935,0.651,115s,0.9306,0.6494,10.9495,0.2314,104s,1.584,0.4044,1.9047,0.2785,105s,1.4751,0.4056,2.3181,0.3286,112s,1.0244,0.6223,1.8887,0.4394,135s,0.8291,0.6899,1.6189,0.6015,140s,1.0805,0.5977,1.2206,0.5881,,154s,1.3762,0.4565,3.0313,0.2357,137s,1.8088,0.2908,1.8672,0.3071,142s,1.4266,0.4322,1.4216,0.4404,147s,1.3771,0.4715,3.3877,0.2053,151s,1.102,0.5754,1.6812,0.4349
5,111s,0.8609,0.6748,1.0285,0.6436,116s,0.8361,0.6811,5.533,0.2729,104s,1.4754,0.4449,1.9336,0.3335,107s,1.3934,0.4376,1.7504,0.3676,112s,0.905,0.6599,2.5401,0.4381,126s,0.711,0.7331,1.7558,0.4864,141s,1.0312,0.6159,1.2531,0.5577,,154s,1.3079,0.4833,4.7235,0.134,138s,1.8365,0.2961,28.7054,0.2103,143s,1.3317,0.471,1.3751,0.4659,146s,1.2909,0.5001,1.9573,0.397,151s,0.9524,0.6373,1.2905,0.5614
6,109s,0.8372,0.6867,1.0514,0.6448,117s,0.7403,0.7219,2.8635,0.4115,103s,1.4454,0.4643,1.5146,0.409,106s,1.3465,0.4566,1.6664,0.4022,112s,0.8284,0.691,1.9422,0.4462,128s,0.6015,0.7782,0.9871,0.6894,140s,1.0106,0.6223,1.2579,0.5434,,154s,1.1803,0.5394,1.3341,0.5323,136s,1.8042,0.2927,2.7469,0.2854,146s,1.2487,0.5054,1.4009,0.4646,147s,1.1716,0.5492,1.7453,0.4094,152s,0.8296,0.6838,3.3972,0.3654
7,110s,0.822,0.6938,1.0358,0.6436,115s,0.6753,0.7477,2.2567,0.4684,104s,1.4716,0.4534,6.0263,0.2624,107s,1.2695,0.5022,2.3165,0.4097,112s,0.7431,0.7227,1.7794,0.5173,123s,0.5278,0.8051,0.8147,0.7197,140s,1.0103,0.6182,1.2495,0.5676,,157s,1.1273,0.561,4.1503,0.3958,136s,1.7956,0.2957,1.8243,0.2767,144s,1.1607,0.5481,1.4729,0.469,147s,1.0595,0.5961,1.6152,0.4653,152s,0.7187,0.7316,1.6534,0.5651
8,110s,0.8136,0.6981,1.0654,0.646,114s,0.629,0.7619,3.6516,0.3552,105s,1.437,0.4647,2.1095,0.4455,107s,1.2019,0.5382,1.1911,0.5668,112s,0.7055,0.7366,5.7463,0.3038,121s,0.4234,0.8453,1.2734,0.5743,140s,1.0036,0.6227,1.4192,0.5453,,156s,1.0448,0.5984,1.282,0.5136,136s,1.8734,0.2829,18.2491,0.2971,141s,1.0616,0.5849,1.3196,0.5118,147s,0.9642,0.6378,2.1783,0.3722,152s,0.5781,0.7916,1.9361,0.4777
9,111s,0.782,0.7034,1.1515,0.6176,114s,0.6295,0.7643,1.1089,0.6009,104s,1.6427,0.3913,4.3425,0.3292,108s,1.1032,0.5727,1.271,0.5043,111s,0.6317,0.7677,1.6304,0.5959,119s,0.3518,0.8713,1.1827,0.6566,140s,0.9732,0.6315,1.2178,0.585,,157s,0.9883,0.6205,2.4834,0.5161,137s,1.8457,0.2884,1.733,0.2922,140s,0.9565,0.6294,1.4026,0.5062,147s,0.8658,0.6811,1.3751,0.5434,152s,0.458,0.8372,1.8591,0.5062
10,109s,0.7906,0.7045,1.2868,0.6126,114s,0.5289,0.8004,3.0276,0.4041,103s,1.5965,0.3927,1.4581,0.4066,106s,1.0381,0.6034,1.2936,0.492,112s,0.5778,0.7795,6.4602,0.2444,117s,0.2741,0.9006,0.9818,0.7129,140s,0.9816,0.6293,1.2408,0.5856,,156s,0.8901,0.6539,3.8388,0.3437,135s,1.8071,0.292,1.8896,0.2984,139s,0.8491,0.6798,1.2549,0.5509,145s,0.7499,0.7161,1.508,0.5167,152s,0.3465,0.8751,2.0333,0.5335
